,context,question_type,question
10,"1 Most of these diseases are infections, caused by a variety of bacteria, viruses, and parasites that can be foodborne. 2  Other diseases are poisonings, caused by harmful toxins or chemicals that have contaminated the food, for example, poisonous mushrooms. Many different disease-causing microbes, or pathogens, can contaminate foods, so there are many different foodborne infections. In addition, poisonous chemicals, or other harmful substances can cause foodborne diseases if they are present in food.Other Pathogens. There are several types of molds (fungi) that are foodborne pathogens, and algae found in plankton can cause paralytic shellfish poisoning. Several other types of toxins found in seafood can also cause illness. Some foodborne microbes make people ill by forming toxins in foods that affect the gut or the neurological system. When an illness is caused by a ingesting a toxin and causes an intoxication it will generally make people sick faster than other foodborne pathogens which cause an infection.",factual,"['What are the major causes of foodborne diseases?', 'What is an example of food poisoning caused by a harmful toxin?', 'What type of organism causes paralytic shellfish poisoning?', 'Where are toxins that cause paralytic shellfish poisoning found?', 'What two systems of the body can be affected by toxins from foodborne microbes?']"
11,"1 Most of these diseases are infections, caused by a variety of bacteria, viruses, and parasites that can be foodborne. 2  Other diseases are poisonings, caused by harmful toxins or chemicals that have contaminated the food, for example, poisonous mushrooms. Many different disease-causing microbes, or pathogens, can contaminate foods, so there are many different foodborne infections. In addition, poisonous chemicals, or other harmful substances can cause foodborne diseases if they are present in food.Other Pathogens. There are several types of molds (fungi) that are foodborne pathogens, and algae found in plankton can cause paralytic shellfish poisoning. Several other types of toxins found in seafood can also cause illness. Some foodborne microbes make people ill by forming toxins in foods that affect the gut or the neurological system. When an illness is caused by a ingesting a toxin and causes an intoxication it will generally make people sick faster than other foodborne pathogens which cause an infection.",open-ended,"['How do foodborne infections differ from foodborne poisonings?', 'What measures can be taken to prevent foodborne illnesses?', 'How do toxins produced by foodborne microbes affect the human body?']"
12,"1 Select the slide you want to embed in your Word for Windows document. 2  On the Edit menu, click Copy. 3  Switch to Word for Windows. 4  Open the document in which you want to embed the PowerPoint slide. 5  Position the insertion point where you want to embed the slide. 6  On the Edit menu, click Paste Special. 1 On the Edit menu, click Copy. 2  Switch to Word for Windows. 3  Open the document in which you want to embed the PowerPoint slide. 4  Position the insertion point where you want to embed the slide. 5  On the Edit menu, click Paste Special. 6  Under Data Type, select PowerPoint Slide Object, and then click OK.Open the document you want to use to create a PowerPoint presentation. On the File menu, point to Send To, and then click Microsoft PowerPoint. Tips. If you're already working in PowerPoint, you can import a Word document into a presentation. In PowerPoint, click Open on the File menu. In the Files of type box, click All Files",binary,"['Can you embed a PowerPoint slide into a Word document?', 'Is it necessary to switch to Word after copying the slide?', 'Do you need to save the Word document after embedding the slide?']"
13,"1 Select the slide you want to embed in your Word for Windows document. 2  On the Edit menu, click Copy. 3  Switch to Word for Windows. 4  Open the document in which you want to embed the PowerPoint slide. 5  Position the insertion point where you want to embed the slide. 6  On the Edit menu, click Paste Special. 1 On the Edit menu, click Copy. 2  Switch to Word for Windows. 3  Open the document in which you want to embed the PowerPoint slide. 4  Position the insertion point where you want to embed the slide. 5  On the Edit menu, click Paste Special. 6  Under Data Type, select PowerPoint Slide Object, and then click OK.Open the document you want to use to create a PowerPoint presentation. On the File menu, point to Send To, and then click Microsoft PowerPoint. Tips. If you're already working in PowerPoint, you can import a Word document into a presentation. In PowerPoint, click Open on the File menu. In the Files of type box, click All Files",factual,"['What menu option is used to copy a slide?', ""Where do you select 'Paste Special' in Word?"", 'What file type should you select to embed a slide?']"
14,"1 Select the slide you want to embed in your Word for Windows document. 2  On the Edit menu, click Copy. 3  Switch to Word for Windows. 4  Open the document in which you want to embed the PowerPoint slide. 5  Position the insertion point where you want to embed the slide. 6  On the Edit menu, click Paste Special. 1 On the Edit menu, click Copy. 2  Switch to Word for Windows. 3  Open the document in which you want to embed the PowerPoint slide. 4  Position the insertion point where you want to embed the slide. 5  On the Edit menu, click Paste Special. 6  Under Data Type, select PowerPoint Slide Object, and then click OK.Open the document you want to use to create a PowerPoint presentation. On the File menu, point to Send To, and then click Microsoft PowerPoint. Tips. If you're already working in PowerPoint, you can import a Word document into a presentation. In PowerPoint, click Open on the File menu. In the Files of type box, click All Files",open-ended,"['Describe the process of embedding a PowerPoint slide into a Word document.', 'How can you import a Word document into a PowerPoint presentation?', 'What are some other ways to share a PowerPoint slide in Word?']"
15,"90th Street is split into two segments. The first segment, West 90th Street begins at Riverside Drive and ends at Central Park West or West Drive, when it is open, in Central Park on the Upper West Side. The second segment of East 90th Street begins at East Drive, at Engineers Gate of Central Park. When East Drive is closed, East 90th Street begins at Fifth Avenue on the Upper East Side and curves to the right at the FDR Drive becoming East End Avenue. Our Lady of Good Counsel Church, is located on East 90th Street between Third Avenue and Second Avenue, across the street from Ruppert Towers (1601 and 1619 Third Avenue) and Ruppert Park. Asphalt Green, which is located on East 90th Street between York Avenue and East End Avenue.",binary,"['Is 90th Street a continuous street?', 'Does West 90th Street intersect with Fifth Avenue?', 'Is Our Lady of Good Counsel Church located on West 90th Street?', 'Is Asphalt Green located near Ruppert Park?']"
16,"90th Street is split into two segments. The first segment, West 90th Street begins at Riverside Drive and ends at Central Park West or West Drive, when it is open, in Central Park on the Upper West Side. The second segment of East 90th Street begins at East Drive, at Engineers Gate of Central Park. When East Drive is closed, East 90th Street begins at Fifth Avenue on the Upper East Side and curves to the right at the FDR Drive becoming East End Avenue. Our Lady of Good Counsel Church, is located on East 90th Street between Third Avenue and Second Avenue, across the street from Ruppert Towers (1601 and 1619 Third Avenue) and Ruppert Park. Asphalt Green, which is located on East 90th Street between York Avenue and East End Avenue.",factual,"['Where does West 90th Street begin?', 'What street does East 90th Street become after curving right at the FDR Drive?', 'Between which avenues is Our Lady of Good Counsel Church located?', 'Where is Asphalt Green located?']"
17,"90th Street is split into two segments. The first segment, West 90th Street begins at Riverside Drive and ends at Central Park West or West Drive, when it is open, in Central Park on the Upper West Side. The second segment of East 90th Street begins at East Drive, at Engineers Gate of Central Park. When East Drive is closed, East 90th Street begins at Fifth Avenue on the Upper East Side and curves to the right at the FDR Drive becoming East End Avenue. Our Lady of Good Counsel Church, is located on East 90th Street between Third Avenue and Second Avenue, across the street from Ruppert Towers (1601 and 1619 Third Avenue) and Ruppert Park. Asphalt Green, which is located on East 90th Street between York Avenue and East End Avenue.",open-ended,"['Describe the two segments of 90th Street.', 'Explain how the starting point of East 90th Street changes when East Drive is closed.']"
18,"A potential for a privacy violation vs. an actual violation. This leads us to the second problem with the privacy hooligan's propaganda, the potential for privacy violation. In almost every single example, the violation is not actually a violation, it is just a potential one. It is essential that we distinguish between the two. If you walk into a friend's garden, you, again, have no rights of privacy. Your friend can insist to be told what you are doing there, and you have to answer him--or leave. Your friend can observe all he wants. He can invite other friends to watch as well.One is the invasion of privacy, a tort based in common law allowing an aggrieved party to bring a lawsuit against an individual who unlawfully intrudes into his or her private affairs, discloses his or her private information, publicizes him or her in a false light, or appropriates his or her name for personal gain. In the United States today, invasion of privacy is a commonly used cause of action in legal pleadings. Modern tort law includes four categories of invasion of privacy: 1  Intrusion of solitude: physical or electronic intrusion into one's private quarters.",binary,"['Is invasion of privacy a commonly used cause of action in US legal pleadings?', ""Does walking into a friend's garden guarantee privacy rights?"", 'Is intrusion of solitude a category of invasion of privacy?']"
19,"A potential for a privacy violation vs. an actual violation. This leads us to the second problem with the privacy hooligan's propaganda, the potential for privacy violation. In almost every single example, the violation is not actually a violation, it is just a potential one. It is essential that we distinguish between the two. If you walk into a friend's garden, you, again, have no rights of privacy. Your friend can insist to be told what you are doing there, and you have to answer him--or leave. Your friend can observe all he wants. He can invite other friends to watch as well.One is the invasion of privacy, a tort based in common law allowing an aggrieved party to bring a lawsuit against an individual who unlawfully intrudes into his or her private affairs, discloses his or her private information, publicizes him or her in a false light, or appropriates his or her name for personal gain. In the United States today, invasion of privacy is a commonly used cause of action in legal pleadings. Modern tort law includes four categories of invasion of privacy: 1  Intrusion of solitude: physical or electronic intrusion into one's private quarters.",factual,"['What is the example given for potential privacy violation?', 'How many categories of invasion of privacy are listed?', 'What is the first category of invasion of privacy mentioned?']"
20,"A potential for a privacy violation vs. an actual violation. This leads us to the second problem with the privacy hooligan's propaganda, the potential for privacy violation. In almost every single example, the violation is not actually a violation, it is just a potential one. It is essential that we distinguish between the two. If you walk into a friend's garden, you, again, have no rights of privacy. Your friend can insist to be told what you are doing there, and you have to answer him--or leave. Your friend can observe all he wants. He can invite other friends to watch as well.One is the invasion of privacy, a tort based in common law allowing an aggrieved party to bring a lawsuit against an individual who unlawfully intrudes into his or her private affairs, discloses his or her private information, publicizes him or her in a false light, or appropriates his or her name for personal gain. In the United States today, invasion of privacy is a commonly used cause of action in legal pleadings. Modern tort law includes four categories of invasion of privacy: 1  Intrusion of solitude: physical or electronic intrusion into one's private quarters.",open-ended,"['Explain the difference between potential privacy violation and actual violation.', 'Describe the concept of invasion of privacy as a tort in common law.', ""How does the example of a friend's garden illustrate the issue of privacy expectations?""]"
21,"Airlines call them several different things, your PNR or Passenger Name Record, Record Locator and Confirmation or Reservation Number. When you check in with the airline at the ticket counter you will be asked to provide your ID and your flight number or confirmation number...that is what is on the piece of paper. It's passenger name record (PNR) in airline industries, a passenger name record (PNR) is a record in the database of a computer reservation system (CRS).I have booked a reservation with American Airlines on aa.com. It is ticketed and paid for, and contains an American Airlines flight and a BA flight. I am American Airlines Platinum (Sapphire) and the number is against the reservation. If you booked the BA flight under the AA flight number, eg American Airlines flight 6543, Operated by British Airways, then all you need to do is add your British Airways Executive Club number to the booking. After a few minutes, log into your BAEC account, and look at your upcoming bookings.",binary,"['Is a PNR the same as a reservation number?', 'Do all airlines use the same computer reservation system?', 'Can you add a frequent flyer number to an existing booking?']"
22,"Airlines call them several different things, your PNR or Passenger Name Record, Record Locator and Confirmation or Reservation Number. When you check in with the airline at the ticket counter you will be asked to provide your ID and your flight number or confirmation number...that is what is on the piece of paper. It's passenger name record (PNR) in airline industries, a passenger name record (PNR) is a record in the database of a computer reservation system (CRS).I have booked a reservation with American Airlines on aa.com. It is ticketed and paid for, and contains an American Airlines flight and a BA flight. I am American Airlines Platinum (Sapphire) and the number is against the reservation. If you booked the BA flight under the AA flight number, eg American Airlines flight 6543, Operated by British Airways, then all you need to do is add your British Airways Executive Club number to the booking. After a few minutes, log into your BAEC account, and look at your upcoming bookings.",factual,"['What is a PNR in the airline industry?', 'What is the purpose of a confirmation number?', ""What is the name of British Airways' frequent flyer program?""]"
23,"Airlines call them several different things, your PNR or Passenger Name Record, Record Locator and Confirmation or Reservation Number. When you check in with the airline at the ticket counter you will be asked to provide your ID and your flight number or confirmation number...that is what is on the piece of paper. It's passenger name record (PNR) in airline industries, a passenger name record (PNR) is a record in the database of a computer reservation system (CRS).I have booked a reservation with American Airlines on aa.com. It is ticketed and paid for, and contains an American Airlines flight and a BA flight. I am American Airlines Platinum (Sapphire) and the number is against the reservation. If you booked the BA flight under the AA flight number, eg American Airlines flight 6543, Operated by British Airways, then all you need to do is add your British Airways Executive Club number to the booking. After a few minutes, log into your BAEC account, and look at your upcoming bookings.",open-ended,"['How do airlines use passenger name records?', ""What are the benefits of booking a flight through an airline's website?"", 'What information is typically included in a PNR?']"
24,"An anesthesiologist is a doctor (MD or DO) who practices anesthesia. Anesthesiologists are physicians specializing in perioperative care, development of an anesthetic plan, and the administration of anesthetics. HSS specializes in regional anesthesia. Administration of anesthesia involves first talking with the patient to establish a plan for the anesthesia, as well as making sure that the patient is ready for the operation. The first priority is getting the patient safely through the procedure.The anesthesiologist is a medical doctor who, after medical school and internship, has chosen to specialize in anesthesiology. All anesthesiologists have at least three years of training after medical school; most have four years, and a few have more. It is the anesthesiologist’s job to keep you safe and comfortable during surgery and recovery from anesthesia. Once you enter the operating room, the anesthesiologist never leaves your side until you are safe and stable in the postanesthesia care unit. If the patient encounters a problem during surgery (low blood pressure, asthma, substantial blood loss, inadequate blood flow to the heart, heart arrhythmia and many others), the anesthesiologist works to correct the problem.",binary,"['Is an anesthesiologist responsible for perioperative care?', 'Does an anesthesiologist create an anesthetic plan for the patient?', 'Is regional anesthesia a specialized area within anesthesiology?']"
25,"An anesthesiologist is a doctor (MD or DO) who practices anesthesia. Anesthesiologists are physicians specializing in perioperative care, development of an anesthetic plan, and the administration of anesthetics. HSS specializes in regional anesthesia. Administration of anesthesia involves first talking with the patient to establish a plan for the anesthesia, as well as making sure that the patient is ready for the operation. The first priority is getting the patient safely through the procedure.The anesthesiologist is a medical doctor who, after medical school and internship, has chosen to specialize in anesthesiology. All anesthesiologists have at least three years of training after medical school; most have four years, and a few have more. It is the anesthesiologist’s job to keep you safe and comfortable during surgery and recovery from anesthesia. Once you enter the operating room, the anesthesiologist never leaves your side until you are safe and stable in the postanesthesia care unit. If the patient encounters a problem during surgery (low blood pressure, asthma, substantial blood loss, inadequate blood flow to the heart, heart arrhythmia and many others), the anesthesiologist works to correct the problem.",factual,"['What type of doctor practices anesthesia?', 'What are the specializations of an anesthesiologist?', 'What does HSS specialize in?', 'What is the minimum number of years of training required for anesthesiologists after medical school?', 'What is the primary responsibility of an anesthesiologist during surgery?']"
26,"An anesthesiologist is a doctor (MD or DO) who practices anesthesia. Anesthesiologists are physicians specializing in perioperative care, development of an anesthetic plan, and the administration of anesthetics. HSS specializes in regional anesthesia. Administration of anesthesia involves first talking with the patient to establish a plan for the anesthesia, as well as making sure that the patient is ready for the operation. The first priority is getting the patient safely through the procedure.The anesthesiologist is a medical doctor who, after medical school and internship, has chosen to specialize in anesthesiology. All anesthesiologists have at least three years of training after medical school; most have four years, and a few have more. It is the anesthesiologist’s job to keep you safe and comfortable during surgery and recovery from anesthesia. Once you enter the operating room, the anesthesiologist never leaves your side until you are safe and stable in the postanesthesia care unit. If the patient encounters a problem during surgery (low blood pressure, asthma, substantial blood loss, inadequate blood flow to the heart, heart arrhythmia and many others), the anesthesiologist works to correct the problem.",open-ended,"['What are the steps involved in administering anesthesia?', 'How does an anesthesiologist contribute to patient safety during surgery?', 'What are some common challenges faced by anesthesiologists during surgical procedures?']"
27,"An underappreciated risk of blood glucose testing is the opportunity for exposure to bloodborne viruses (HBV, hepatitis C virus, and HIV) through contaminated equipment and supplies if devices used for testing and/or insulin administration (e.g., blood glucose meters, fingerstick devices, insulin pens) are shared. CDC is alerting all persons who assist others with blood glucose monitoring and/or insulin administration of the following infection control requirements: 1  Fingerstick devices should never be used for more than one person. 2  Whenever possible, blood glucose meters should not be shared.The Bayer Ascensia Contour Blood Glucose Monitoring System performs calibration automatically. Control Test Per Bayer, not required, but recommended to perform weekly to make sure the BGM and the test strips are working properly. Procedure: 1. A control test should be performed every Monday on each meter. Carefully dispose of the test strip and the lancing device in an appropriate area to prevent injuries and contamination. Patient Care: If the blood glucose results are 80 mg/dl or less, administer Dextrose (oral and/or IV) or Glucagon.",binary,"['Can sharing blood glucose meters transmit bloodborne viruses?', 'Does the Bayer Ascensia Contour Blood Glucose Monitoring System require manual calibration?', 'Should Dextrose be administered if blood glucose levels are critically low?']"
28,"An underappreciated risk of blood glucose testing is the opportunity for exposure to bloodborne viruses (HBV, hepatitis C virus, and HIV) through contaminated equipment and supplies if devices used for testing and/or insulin administration (e.g., blood glucose meters, fingerstick devices, insulin pens) are shared. CDC is alerting all persons who assist others with blood glucose monitoring and/or insulin administration of the following infection control requirements: 1  Fingerstick devices should never be used for more than one person. 2  Whenever possible, blood glucose meters should not be shared.The Bayer Ascensia Contour Blood Glucose Monitoring System performs calibration automatically. Control Test Per Bayer, not required, but recommended to perform weekly to make sure the BGM and the test strips are working properly. Procedure: 1. A control test should be performed every Monday on each meter. Carefully dispose of the test strip and the lancing device in an appropriate area to prevent injuries and contamination. Patient Care: If the blood glucose results are 80 mg/dl or less, administer Dextrose (oral and/or IV) or Glucagon.",factual,"['What are some examples of devices used for insulin administration?', 'What does CDC recommend regarding fingerstick devices?', 'Why is sharing blood glucose meters discouraged?', 'What should be done if blood glucose results are 80 mg/dl or less?']"
29,"An underappreciated risk of blood glucose testing is the opportunity for exposure to bloodborne viruses (HBV, hepatitis C virus, and HIV) through contaminated equipment and supplies if devices used for testing and/or insulin administration (e.g., blood glucose meters, fingerstick devices, insulin pens) are shared. CDC is alerting all persons who assist others with blood glucose monitoring and/or insulin administration of the following infection control requirements: 1  Fingerstick devices should never be used for more than one person. 2  Whenever possible, blood glucose meters should not be shared.The Bayer Ascensia Contour Blood Glucose Monitoring System performs calibration automatically. Control Test Per Bayer, not required, but recommended to perform weekly to make sure the BGM and the test strips are working properly. Procedure: 1. A control test should be performed every Monday on each meter. Carefully dispose of the test strip and the lancing device in an appropriate area to prevent injuries and contamination. Patient Care: If the blood glucose results are 80 mg/dl or less, administer Dextrose (oral and/or IV) or Glucagon.",open-ended,"['What are the risks associated with sharing blood glucose testing equipment?', 'Why is proper disposal of test strips and lancing devices important?', 'How can healthcare providers ensure accurate blood glucose monitoring?']"
30,"As always, there are many different recipes for cooking a leg of lamb. Elise cooks her leg of lamb with the bone in by starting at 425 degrees for 20 minutes then turns the oven down to 300°F and continues to roast the meat for about 10-12 minutes per pound for medium rare lamb.Put the lamb inside an oven bag and place in a roasting dish. Secure the bag and pierce several holes in the top of the bag to allow steam to escape. Bake the lamb in the preheated oven; a 2 kg leg of lamb will take 2 hours 40 minutes to cook. Once this time has elapsed, remove the lamb from the oven and split the oven bag open, allowing the juices to flow into the",binary,"['Is it necessary to brown the lamb before placing it in the oven bag?', 'Does the size of the lamb affect the cooking time?']"
31,"As always, there are many different recipes for cooking a leg of lamb. Elise cooks her leg of lamb with the bone in by starting at 425 degrees for 20 minutes then turns the oven down to 300°F and continues to roast the meat for about 10-12 minutes per pound for medium rare lamb.Put the lamb inside an oven bag and place in a roasting dish. Secure the bag and pierce several holes in the top of the bag to allow steam to escape. Bake the lamb in the preheated oven; a 2 kg leg of lamb will take 2 hours 40 minutes to cook. Once this time has elapsed, remove the lamb from the oven and split the oven bag open, allowing the juices to flow into the",factual,"['What temperature does Elise initially cook her leg of lamb at?', 'How long does it take to cook a 2 kg leg of lamb according to the given recipe?', 'How many minutes per pound should a leg of lamb be roasted for medium rare?']"
32,"As always, there are many different recipes for cooking a leg of lamb. Elise cooks her leg of lamb with the bone in by starting at 425 degrees for 20 minutes then turns the oven down to 300°F and continues to roast the meat for about 10-12 minutes per pound for medium rare lamb.Put the lamb inside an oven bag and place in a roasting dish. Secure the bag and pierce several holes in the top of the bag to allow steam to escape. Bake the lamb in the preheated oven; a 2 kg leg of lamb will take 2 hours 40 minutes to cook. Once this time has elapsed, remove the lamb from the oven and split the oven bag open, allowing the juices to flow into the",open-ended,"['Why is it necessary to pierce holes in the oven bag when cooking lamb?', 'What are some other methods for cooking a leg of lamb?', 'What factors can affect the cooking time of a leg of lamb?']"
